# Attribute keys of go.opentelemetry.io/otel/semconv/v1.43.0, from module go.opentelemetry.io/otel v1.46.0.
# Columns: attribute<TAB>go constant.
process.group_leader.pid	ProcessGroupLeaderPIDKey
process.interactive	ProcessInteractiveKey
process.linux.cgroup	ProcessLinuxCgroupKey
process.owner	ProcessOwnerKey
process.parent_pid	ProcessParentPIDKey
process.pid	ProcessPIDKey
process.real_user.id	ProcessRealUserIDKey
process.real_user.name	ProcessRealUserNameKey
process.runtime.description	ProcessRuntimeDescriptionKey
process.runtime.name	ProcessRuntimeNameKey
process.runtime.version	ProcessRuntimeVersionKey
process.saved_user.id	ProcessSavedUserIDKey
process.saved_user.name	ProcessSavedUserNameKey
process.session_leader.pid	ProcessSessionLeaderPIDKey
process.state	ProcessStateKey
process.title	ProcessTitleKey
process.user.id	ProcessUserIDKey
process.user.name	ProcessUserNameKey
process.vpid	ProcessVpidKey
process.working_directory	ProcessWorkingDirectoryKey
profile.frame.type	ProfileFrameTypeKey
rpc.method	RPCMethodKey
rpc.method_original	RPCMethodOriginalKey
rpc.response.status_code	RPCResponseStatusCodeKey
rpc.system.name	RPCSystemNameKey
security_rule.category	SecurityRuleCategoryKey
security_rule.description	SecurityRuleDescriptionKey
security_rule.license	SecurityRuleLicenseKey
security_rule.name	SecurityRuleNameKey
security_rule.reference	SecurityRuleReferenceKey
security_rule.ruleset.name	SecurityRuleRulesetNameKey
security_rule.uuid	SecurityRuleUUIDKey
security_rule.version	SecurityRuleVersionKey
server.address	ServerAddressKey
server.port	ServerPortKey
service.criticality	ServiceCriticalityKey
service.instance.id	ServiceInstanceIDKey
service.name	ServiceNameKey
service.namespace	ServiceNamespaceKey
service.peer.name	ServicePeerNameKey
service.peer.namespace	ServicePeerNamespaceKey
service.version	ServiceVersionKey
session.id	SessionIDKey
session.previous_id	SessionPreviousIDKey
signalr.connection.status	SignalRConnectionStatusKey
signalr.transport	SignalRTransportKey
source.address	SourceAddressKey
source.port	SourcePortKey
system.device	SystemDeviceKey
system.filesystem.mode	SystemFilesystemModeKey
